"District","AD_pct","AD_mandate","FRS_pct","FRS_mandate","APU_pct","APU_mandate","PSD_pct","PSD_mandate","PS_pct","PS_mandate","UDP_pct","UDP_mandate","mag","Source"
"Azores ",,,,,3.1,"- ",57,4,27.3,1,1.3,"- ",5,"https://en.wikipedia.org/wiki/1980_Portuguese_legislative_election#Distribution_by_constituency"
"Aveiro ",58.8,10,27.1,4,6.8,1,,,,,,,15,
"Beja ",22.4,1,21.1,1,47.1,3,,,,,1.3,"- ",5,
"Braga ",54.9,9,29.3,5,8.4,1,,,,,0.9,"- ",15,
"Bragança ",65.3,3,21.3,1,4.8,"- ",,,,,1,"- ",4,
"Castelo Branco ",51,4,30.3,2,10.5,"- ",,,,,0.7,"- ",6,
"Coimbra ",46.1,6,35.9,5,9.9,1,,,,,0.8,"- ",12,
"Évora ",29.2,1,18.7,1,45.7,3,,,,,0.9,"- ",5,
"Faro ",37.2,4,34.7,4,16.7,1,,,,,1.9,"- ",9,
"Guarda ",60.6,4,26.3,1,5,"- ",,,,,0.7,"- ",5,
"Leiria ",59.8,7,22.7,3,9.7,1,,,,,1,"- ",11,
"Lisbon ",41.6,25,28.1,17,23.1,13,,,,,1.7,1,56,
"Madeira ",,,,,2.9,"- ",63.6,4,16.5,1,4.5,"- ",5,
"Portalegre ",33.4,2,32.4,1,26.1,1,,,,,0.7,"- ",4,
"Porto ",46.6,19,34.3,14,11.9,5,,,,,1.4,"- ",38,
"Santarém ",42.1,6,30.4,4,19,2,,,,,1.2,"- ",12,
"Setúbal ",24.1,4,23.5,4,44,9,,,,,2.8,"- ",17,
"Viana do Castelo ",59.2,5,22.8,1,10,"- ",,,,,0.7,"- ",6,
"Vila Real ",62.1,5,22.8,1,5.1,"- ",,,,,0.8,"- ",6,
"Viseu ",66.8,8,20.9,2,5,"- ",,,,,0.6,"- ",10,
"Europe ",49.6,1,,,15.2,"- ",,,25.4,1,1.4,"- ",2,
"Outside Europe ",85.5,2,,,2.6,"- ",,,4,"- ",0.4,"- ",2,
"Total ",44.9,126,26.7,71,16.8,41,2.5,8,1.1,3,1.4,1,250,
